ID_W,WAVE OF SURVEY=YEAR
J725DCC08,CODE OF THE PROFESSION BY ISCO2008 FOR A THIRD SPECIALTY INSTITUTE
J72.5C3,INSTITUTE 3--DIPLOMA?
J72.5E3,INSTITUTE 3--FINISH YR
J72.5H3,INSTITUTE 3--INTERNAL?
J72.5I3,INSTITUTE 3--THE SAME PLACE?
J72.5J3,"WHAT PROGRAM DID YOU STUDY OR STUDING NOW AT INSTITUTE, UNIVERSITY, ACADEMY? (THIRD)"
J72.5A4,INSTITUTE 4--STUDIED?
J72.5B4,INSTITUTE 4--YEARS
J725DDC08,CODE OF THE PROFESSION BY ISCO2008 FOR A FORTH SPECIALTY INSTITUTE
J72.5C4,INSTITUTE 4--DIPLOMA?
J72.5E4,INSTITUTE 4--FINISH YR
J72.5H4,INSTITUTE 4--INTERNAL?
J72.5I4,INSTITUTE 4--THE SAME PLACE?
J72.5J4,"WHAT PROGRAM DID YOU STUDY OR STUDING NOW AT INSTITUTE, UNIVERSITY, ACADEMY? (FOURTH)"
J72.51,WORK DURING STUDYING?
J72.6A,GRADUATE_RES. 1--STUDIED?
J72.6B,GRADUATE_RES. 1--YEARS
J726DAC08,CODE OF THE PROFESSION BY ISCO2008 FOR A FIRST SPECIALTY GRADUATE_RES.
J72.6C,GRADUATE_RES. 1--DIPLOMA?
J72.6E,GRADUATE_RES. 1--FINISH YR
J72.6F,GRADUATE_RES. 1--PAID
J72.6G,GRADUATE_RES. 1--PAY OFFICIALLY PER YEAR--AMOUNT
J72.6H,GRADUATE_RES. 1--INTERNAL?
J72.6I,GRADUATE_RES. 1--THE SAME PLACE?
J72.6A2,GRADUATE_RES. 2--STUDIED?
J72.6B2,GRADUATE_RES. 2--YEARS
J726DBC08,CODE OF THE PROFESSION BY ISCO2008 FOR A SECOND SPECIALTY GRADUATE_RES.
J72.6C2,GRADUATE_RES. 2--DIPLOMA?
J72.6E2,GRADUATE_RES. 2--FINISH YR
J72.6F2,GRADUATE_RES. 2--PAID
J72.6G2,GRADUATE_RES. 2--PAY OFFICIALLY PER YEAR--AMOUNT
J72.6H2,GRADUATE_RES. 2--INTERNAL?
J72.6I2,GRADUATE_RES. 2--THE SAME PLACE?
J7260.1,DO YOU HAVE MASTER`S DEGREE?
J7260.2,DO YOU HAVE A DIPLOMA OF CANDIDATE OF SCIENCE?
J7260.3,DO YOU HAVE A DIPLOMA OF DOCTOR OF SCIENCE?
J72.18A,HIGHEST EDUCATIONAL LEVEL
J72.19A,PART OF PEOPLE STUDIED WITH YOU IS WORKING NOW BY RECEIVED OR CLOSE SPECIALIT
J72.20,WORK BY RECEIVED OR CLOSE SPECIALITY AFTER FINISHING EDUCATION
J72.21,WORK BY RECEIVED OR CLOSE SPECIALITY ALL THE TIME OR NOT ALL THE TIME
J72.21Y,HOW MANY YEARS WORK BY RECEIVED OR CLOSE SPECIALITY?
J72.22,HOW USEFUL WERE THE KNOWLEDGE AND SKILLS OBTAINED IN AN EDUCATIONAL INSTITUTION?
J72.231,GENERAL KNOWLEDGE AND SKILLS PROVED PARTICULARLY USEFUL IN YOUR WORK LIFE?
J72.232,SPECIFIC PROFESSIONAL KNOWLEDGE AND SKILLS PROVED PARTICULARLY USEFUL IN YOUR WORK LIFE?
J72.233,"ABILITY TO MASTER NEW KNOWLEDGE, SKILLS QUICKLY PROVED PARTICULARLY USEFUL IN WORK LIFE?"
J72.234,LOGICAL THINKING SKILLS PROVED PARTICULARLY USEFUL IN WORK LIFE?
J320,RECEIVED CERTIFICATE OR DIPLOMA--PLACE
J77A,DID THE RESPONDENT STUDY ANYWHERE BESIDES SCHOOL?
J72.25,IN WHAT PROPOTION YOUR PRESENT WORK REQUIRES THE LEVEL YOU HAVE RECEIVED
J72.26,EMPLOYED BY THE SPECIALITY AT YOUR MAIN JOB
J72.11,HAS R TAKEN PROF. COURSES LY?
J72.111,"COURSES FOR THE IMPROVEMENT OF PROFESSIONAL SKILLS, OR ANY OTHER COURSES--LA YEARS"
J72.110,"ADDITIONAL TRAINING COURSES IN YOUR CURRENT PROFESSION, FIELD--LAST 3 YEARS"
J72121AC08,CODE OF THE PROFESSION BY ISCO2008 FOR A PROF.COURSES L12M
J72121C,1ST PROF. DAYS STUDIED
J72121E,HOW MANY TRAINING DAYS?
J371,HOW LONG TYPICAL DAY OF TRAINING
J72121B,1ST PROF. CURRENT PROF.?
J72121D,1ST PROF. WHO PAID
J72122AC08,CODE OF THE PROFESSION BY ISCO08 SPECIALTY PROFESSIONAL COURSES 2 L12M
J72122C,2ND PROF. DAYS STUDIED
J72122B,2ND PROF. R`S PROF.?
J72122D,2ND PROF. WHO PAID
J72.12,TRAINING IN FIELD--DAYS
J72.13,TRAINING ONLY IN OTHER FIELD L3Y?
J72.13A,TRAINING ONLY IN OTHER FIELD L2Y?--
J7214AC08,CODE OF THE PROFESSION BY ISCO08 SPECIALTY 1ST PROFESSIONAL COURSES
J7214BC08,CODE OF THE PROFESSION BY ISCO08 SPECIALTY 2ND PROFESSIONAL COURSES
J7214CO08,CODE OF THE PROFESSION BY ISCO08 SPECIALTY PROFESSIONAL COURSES
J72.15,TRAINING IN FIELD--DAYS
J72.151,WILL CONTINUE EDUCATION N3Y?
J400.1,TAKE THESE COURSES--TO FIND (ANOTHER) JOB
J400.2,TAKE THESE COURSES--TO ACQUIRE A PROFESSION
J400.3,TAKE THESE COURSES--TO IMPROVE YOUR QUALIFICATIONS
J400.4,TAKE THESE COURSES--TO START YOUR OWN BUSINESS
J400.5,TAKE THESE COURSES--TO EXPAND YOUR HORIZONS
J400.7,TAKE THESE COURSES--TO INCREASE EARNINGS
J400.6,TAKE THESE COURSES--OTHER
J400.8,TAKE THESE COURSES--TO ACQUIRE ANOTHER POSITION
J721523,CONT. EDUC.--IMPROVE QUAL.
J721524,CONT. EDUC.--START BUS.
J721525,CONT. EDUC.--EXPAND HORIZ.
J721527,CONT. EDUC.--INCREASE EARNINGS
J721528,CONT. EDUC.--ACQUIRE ANOTHER POSITION
J721529,CONT. EDUC.--PERFORM THIS JOB BETTER
J721526,CONT. EDUC.--OTHER REASON
J260,SPEAK FOREIGN LANGUAGE?
J261,"FOREIN LANGUAGE DO YOU SPEAK. IF SPEAK SOME, TELL THE ONE YOU SPEAK BETTER."
J262,LEVEL OF FLUENCY IN FOREIGN LANGUAGE
J72.161,USED A COMPUTER FOR ANY PURPOSE L12M?
J721621,USED PC AT HOME L12M?
J721622,USED PC AT WORK_STUDY L12M?
J721623,USED PC ELSEWHERE L12M
J72160,USED A COMPUTER FOR WORK_STUDY L12M?
J359.2,USE POCKET PC FOR INTERNET?
J359.5,USE PERSONAL COMPUTER FOR INTERNET?
J359.4,USE TABLET FOR INTERNET?
J359.3,USE CELL PHONE FOR INTERNET?
J359.6,USE SOMETHING ELSE FOR INTERNET?
J125.1,INTERNET FOR STUDY L12M?
J125.2,INTERNET FOR WORK L12M?
J125.3,INTERNET FOR ENT. L12M?
J125.4,INTERNET FOR COMM. L12M?
J125.5,INTERNET FOR NEWS L12M?
J125.6,INTERNET FOR CULT. L12M?
J125.7,INTERNET FOR REF. L12M?
J125.8,INTERNET FOR SHOPPING L12M?
J125.10,USE THE INTERNET IN THE LAST 12 MONTHS TO VISIT SOCIAL NETWORKING SITES?
J125.9,INTERNET FOR OTHER L12M?
J401.1A,SOCIAL NETWORK ODNOKLASSNIKI
J401.1B,SOCIAL NETWORK ODNOKLASSNIKI - YEARS
J401.2A,SOCIAL NETWORK VKONTAKTE
J401.2B,SOCIAL NETWORK VKONTAKTE - YEARS
J401.3A,SOCIAL NETWORK FACEBOOK
J401.3B,SOCIAL NETWORK FACEBOOK - YEARS
J401.4A,SOCIAL NETWORK LIVEJOURNAL
J401.4B,SOCIAL NETWORK LIVEJOURNAL - YEARS
J401.5A,SOCIAL NETWORK TWITTER
J401.5B,SOCIAL NETWORK TWITTER - YEARS
J360.5,HAVE A TABLET?
J360.3,"HAVE A PORTABLE COMPUTER:  LAPTOP, NOTEBOOK, NETBOOK?"
J360.2,"HAVE A SMARTPHONE, I-PHONE?"
J184,HAVE A MOBILE PHONE?
J360.6,HAVE A SMART WATCH?
J185,MONTHLY CELL PHONE SERVICE--COST
J186,WIRELESS SERVICES PROVIDER
J321.1,CELL PHONE PURPOSE--CALLS?
J321.2,CELL PHONE PURPOSE--SMS?
J321.3,CELL PHONE PURPOSE--INTERNET?
J321.4,CELL PHONE PURPOSE--ROAMING?
J321.5,CELL PHONE PURPOSE--CLOCKS?
J321.6,CELL PHONE PURPOSE--PHOTOS?
J321.7,CELL PHONE PURPOSE--VIDEO?
J321.8,CELL PHONE PURPOSE--ORGANIZER?
J321.9,CELL PHONE PURPOSE--MUSIC?
J321.10,CELL PHONE PURPOSE--PICS MESSAGES?
J321.11,CELL PHONE PURPOSE--EXCHANGING INF. W_COMPUTER?
J321.12,CELL PHONE PURPOSE--VOICE MESSAGES?
J321.13,CELL PHONE PURPOSE--DOWNLOADING?
J321.14,CELL PHONE PURPOSE--SAVING DATA?
J321.15,CELL PHONE PURPOSE--GAMES?
J321.16,CELL PHONE PURPOSE--VOICE RECOGNITION?
J321.17,CELL PHONE PURPOSE--CALCULATOR?
J321.18,CELL PHONE PURPOSE--OTHERS?
J72.17,MARITAL STATUS
J322,MARITAL STATUS
J323M,WHEN DID YOU MARRY?--MONTH
J323Y,WHEN DID YOU MARRY?--YEAR
J324,LIVE WITH A PARTNER?
J325M,FIRST START LIVING TOGETHER--MONTH
J325Y,FIRST START LIVING TOGETHER--YEAR
J7217A1,SAVINGS--INFLUENCE?
J7217A2,EVERYDAY BUYING--INFLUENCE?
J7217A3,PURCHASE OF DURABLES--INFLUENCE?
J7217A4,"EMPLOYMENT, WORK HOURS--INFLUENCE?"
J7217A5,CHILDREN_S EDUCATION--INFLUENCE?
J7217A6,FAMILY_S LEISURE--INFLUENCE?
J72.18,BELIEVER_NON-BELIEVER_AT HEIST
J72.19,RESPONDENT`S RELIGION
J131.1,"DO YOU VISIT DIVINE SERVICES, MEETINGS OR OTHER RELIGIOUS EVENTS? IF YES HOW OFTEN?"
J721637,"IS IT POSSIBLE FOR YOU AND YOUR FAMILY TO EAT MEAT, CHICKEN OR FISH EVERY OTHER DAY?"
J721631,CAN IMPROVE LIVING COND.
J721632,CAN PAY FOR ADDL CLASSES
J721633,CAN SAVE FOR BIG PURCHASES
J721634,CAN VACATION ABROAD
J721636,IS IT POSSIBLE FOR YOU AND YOUR FAMILY TO SPEND A HOLIDAY AS A FAMILY IN A PLACE RESORT IN RUSSIA?
J721635,CAN PAY FOR CHILD COLLEGE
J452.1,WHAT INCOME SHOULD YOUR FAMILY HAVE FOR YOU TO CONSIDER YOUR LIVING BETTER THAN OTHERS?
J452.2,WHAT INCOME SHOULD YOUR FAMILY HAVE FOR YOU TO CONSIDER YOUR LIVING ABOUT T AVERAGE?
J452.3,WHAT INCOME SHOULD YOUR FAMILY HAVE FOR YOU TO CONSIDER YOUR LIVING WORSE THAN OTHERS?
J126,GOV`T SHOULD SUPPORT RELIGION?
J127.1,"IN YOUR OPINION, WHAT RELIGION SHOULD GOVERNMENT SUPPORT FIRST OF ALL?"
J127.2,AND WHAT OTHER RELIGION SHOULD GOVERNMENT SUPPORT?
J127.3,AND WHAT OTHER RELIGION SHOULD GOVERNMENT SUPPORT?
J128.1,PERMIT MEDIA THAT ATTACK REL.?
J128.2,PERMIT NON-TRAD. RELIGIONS?
J128.3,PERMIT RELIGIOUS GROUPS?
J128.4,PERMIT FOREIGN PREACHERS?
J128.5,PERMIT RELIGION IN SCHOOLS?
J129,AGE BECAME BELIEVER IN GOD
J130.1,FAMILY INFLUENCED REL. BELIEFS
J130.2,FRIEND INFLUENCED REL. BELIEFS
J130.3,SPOUSE INFLUENCED REL. BELIEFS
J130.4,GROUP INFLUENCED REL. BELIEFS
J130.5,OTHER INFLUENCED REL. BELIEFS
J130.6,EVENT INFLUENCED REL. BELIEFS
J131,FREQ. ATTENDED REL. SERVICS L12M
J132.1,RELIGION GIVES R CONFIDENCE
J132.2,RELIGION GIVES R STRENGTH
J132.3,RELIGION GIVES R FRIENDSHIP
J132.4,RELIGION GIVES R VALUES
J132.5,RELIGION GIVES R HOPE
J132.6,RELIGION GIVES R PATIENCE
J72.171,HAS CHILDREN?
J72.172,NUMBER OF CHILDREN
J72.173,NUMBER OF CHILDREN UNDER 18
J73,RECEIVES A PENSION?
J74,TYPE OF PENSION RECEIVED
J74.1,PENSION FOR RETIREMENT?
J74.2,PENSION FOR DISABILITY?
J74.3,PENSION FOR YEARS OF SERVICE?
J74.4,PENSION FOR YEARS OF SERVICE?
J74.5,PENSION FOR MILITARY SERVICE?
J74A,TYPE OF PENSION RECEIVED--#1
J74B,TYPE OF PENSION RECEIVED--#2
J73.3Y,TOTAL LENGTH OF SERVICE--YEARS
J73.3M,TOTAL LENGTH OF SERVICE--MONTHS
J259,EXPERIENCE FOR EARLY REGISTRATION PENSION--FULL YEARS
J73.4Y,WORKED AFTER RETIREMENT--YEARS?
J73.4M,WORKED AFTER RETIREMENT--MONTHS?
J74.1A,TYPE OF PENSION RECEIVED--#1
J74.1B,TYPE OF PENSION RECEIVED--#2
J74.1C,TYPE OF PENSION RECEIVED--#3
J74.23,KIND OF LABOUR PENSION
J145.1,IF YOU HAVE MULTIPLE SOURCES OF INCOME_THE MOST IMPORTANT SOURCE FOR YOU PERSONALLY?
J145.2,IF YOU HAVE MULTIPLE SOURCES OF INCOME_SECOND IMPORTANT SOURCE FOR YOU PERSONALLY?
J145.3,IF YOU HAVE MULTIPLE SOURCES OF INCOME_THIRD IMPORTANT SOURCE FOR YOU PERSONALLY?
J73.1AM,WHEN GRANTED THIS PENSION?--MONTH
J73.1AY,WHEN GRANTED THIS PENSION?--YEAR
J238,EARNINGS AS A BASE FOR CALCULATION OF PENSION?
J239,LENGTH OF SERVICE AFTER 1 JANUARY 2002 WHICH WAS TAKEN INTO ACCOUNT IN CALCULATION?
J240,WHETHER YOU SHOULD GIVE AN INQUIRIES FROM YOUR PLACES OF WORK ABOUT YOUR LE OF SERVICE
J241,HOW MANY TIMES DID YOU VISIT THE PENSION FUND?
J242A,THE DURATION OF VISIT IN PENSION FUND OFFICE HOURS
J242B,THE DURATION OF VISIT IN PENSION FUND OFFICE MINUTES
J243M,TIME SINCE FIRST VISIT TO PENSION FUND TILL THE MONMENT GOT A PENSION CERTIFICA CURRENTLY WORKS?
J243D,TIME SINCE FIRST VISIT TO PENSION FUND TILL THE MONMENT GOT A PENSION CERTIFICA DAYS
J361,ADDITIONAL DOCUMENTS_ CONFIRM COMMON LENGTH OF SERVICE BEFORE 2002_AFTER 1/1/2010
J362,SOCIAL SURCHARGE TO PENSION
J249,AT HOW MUCH AREYOU SATISFIED WITH A WORK OF YOUR PENSION FUND OFFICE?
J75,RECEIVED PENSION IN LAST 30 DAYS?
J363,PENSION AMOUNT IN LAST 30 DAYS PLUS BENEFITS
J76,PENSION AMOUNT IN LAST 30 DAYS--A.J76
J76.1,GOVERNMENT PENSION OWED?
J76.2,AMOUNT OWED BY GOVERNMENT
J76.3,RECEIVED MONTHLY COMPENSATION?
J76.4,AMOUNT MONTHLY COMPENSATION
J133.1,RETIREMENT FUNDS--OWN EARNINGS
J133.2,RETIREMENT FUNDS--PROPERTY
J133.3,RETIREMENT FUNDS--CHILDREN
J133.4,RETIREMENT FUNDS--SM. HOLDING
J133.5,RETIREMENT FUNDS--ADD. PENSION
J133.6,RETIREMENT FUNDS--SAVINGS
J133.7,RETIREMENT FUNDS--CHARITY
J133.8,RETIREMENT FUNDS--PRIVATE FUND
J133.9,RETIREMENT FUNDS--FEDERAL FUND
J134,KNOWS OF PENSION CHOICE DEADLINE
J135,PENSION FUND MANAGER
J187,HAS CARD OF PENSION INSURANCE?
J149,INFORMATION LETTERS FROM THE PENSION FUND OF RUSSIA
J77,CURRENTLY WORKS?
J78,EVER WORKED?
J79,NUMBER OF YEARS WORKED
J80A,YEAR LEFT LAST WORKPLACE
J80B,MONTH LEFT LAST WORKPLACE
J80.1,REASON OF STOP WORKING AT LAST WORKPLACE
J80.2C08,ILO CODE 2008--JOB BEFORE RETIRING
J85,REGISTERED UNEMPLOYED WITH STATE?
J86,# OF DAYS AGO REGISTERED UNEMPL.
J87,RECEIVES UNEMPLOYMENT BENEFITS?
J88,RECD UNEMPL. BENEFITS LAST 30D?
J89,AMOUNT UNEMPL. BENEFITS LAST 30D
J89.1,PLACEMENT SERVICE HELPED L3M?
J326,FULL YEARS GENERAL EMPLOYMENT RECORD COVER UP TO 1991
J79A,FULL YEARS TOTAL GENERAL EMPLOYMENT RECORD COVER
J79.1.1,RECEIVE NEW KNOWLEDGE--IMPORTANT?
J79.1.2,FAIR NAME OF ENTERPRISE--IMPORTANT?
J79.1.3,AMOUNT OF SALARY--IMPORTANT?
J79.1.4,ASSURED PLACE--IMPORTANT?
J79.1.5,CONVENIENT SCHEDULE--IMPORTANT?
J79.1.6,INTERESTING--IMPORTANT?
J79.1.7,CONVENIENT LOCATION--IMPORTANT?
J79.1.9,ACCORDANCE TO ABILITIES--IMPORTANT?
J791.10,RELATIONSHIPS IN COLLECTIVE--IMPORTANT?
J791.11,SOCIAL SERVICE--IMPORTANT?
J791.12,PROFESSIONAL GROWTH--IMPORTANT?
J791.13,WORK CONDITIONS--IMPORTANT?
J161,FULL YEARS OF GENERAL EMPLOYMENT RECORD COVER UP TO 1 JANUARY 2002
J161.1Y,YEARS OF GENERAL EMPLOYMENT RECORD COVER UP TO 1 JANUARY 2002
J161.1M,MONTHS OF GENERAL EMPLOYMENT RECORD COVER UP TO 1 JANUARY 2002
J161.2Y,YEARS OF GENERAL EMPLOYMENT RECORD COVER AFTER 1 JANUARY 2002
J161.2M,MONTHS OF GENERAL EMPLOYMENT RECORD COVER AFTER 1 JANUARY 2002
J161.3Y,TOTAL GENERAL EMPLOYMENT RECORD COVER - YEARS
J161.3M,TOTAL GENERAL EMPLOYMENT RECORD COVER - MONTHS
J81,WOULD LIKE TO FIND WORK?
J81.1,TIME LOOKING FOR JOB
J81.2,MINIMUM WAGE
J82,LOOKED FOR WORK IN LAST 30 DAYS?
J83.1,LOOKED FOR WORK--STATE AGENCY?
J83.2,LOOKED FOR WORK--PRIV. AGENCY?
J83.3,LOOKED FOR WORK--FRIENDS?
J83.4,LOOKED FOR WORK--RELATIVES?
J83.5,LOOKED FOR WORK--ENTERPRISES?
J83.6,LOOKED FOR WORK--AD NOTICES?
J83.7,LOOKED FOR WORK--AD NOTICES IN INTERNET?
J136,LOOKED FOR WORK IN LAST 7 DAYS?
J84,PREPARATION FOR MORE JOB TRAINING
J84.1,COULD START WORK IMMEDIATELY?
J84.2,TIME NEEDED TO FIND WORK
J90,PRIMARY OCCUPATION
J91,VOTED--1ST PRES. ELECTIONS?
J92,VOTED FOR--1ST PRES. ELECTIONS
J93,VOTED--2ND PRES. ELECTIONS?
J94,VOTED FOR--2ND PRES. ELECTIONS
J95,ACTIVITY IN 1985
J96COD08,ILO CODE 2008--EMPLOYER IN 1985
J96.1,SALARY IN 1985
J97,ACTIVITY IN 1991
J97.0,ACTIVITY IN 1990
J98COD08,ILO CODE 2008--EMPLOYER IN 1991
J971COD08,ILO CODE 2008--EMPLOYER IN 1990
J97.2,SALARY IN 1990
J99.1,% TAX IN SERVICES--CENTRAL GOV.
J99.2,% TAX IN SERVICES--REGIONL GOV.
J99.3,% TAX IN SERVICES--LOCAL GOV.
J100,INCOME TAX COVERAGE
J101.1,IMPACT--TAX RATE
J101.2,IMPACT--COMPLICATED PROCEDURE
J101.3,IMPACT--SCOFFLAWS
J101.4,IMPACT--GOVERNMENT WASTE
J101.5,IMPACT--OTHER CAUSES
J102.1,COMMUNISTS SAVIORS?
J102.2,BUSINESSMEN SAVIORS?
J102.3,DEMOCRATS SAVIORS?
J102.4,WESTERN COUNTRIES SAVIORS?
J102.5,PRESENT GOVERNMENT SAVIOR?
J102.6,NEW GOVERNMENT SAVIOR?
J102.8,THE PEOPLE SAVIORS?
J102.9,SOME OTHER SAVIOR?
J103,OPINION OF COUNTRY`S COURSE
J104,OPINION OF MARKET REFORM
J106.2,CHOICE FOR PRESIDENT--2
J106.3,CHOICE FOR PRESIDENT--3
J107,KIND OF POLITICAL SYSTEM IS MOST SUITABLE FOR RUSSIA
J108,VOTED IN PRESIDENTIAL ELECTION ON MARCH 26 2000?
J109,CHOICE FOR PRESIDENT ON MARCH 26 2000?
J110,OPINION OF PUTIN AS PRESIDENT
J111.1,IMMIGRATION POLICY 1
J111.2,IMMIGRANTS IN R`S PLACE
J111.3,IMMIGRANTS AS NEIGHBORS
J111.4,IMMIGRANTS AS CHILD`S FRIEND
J111.5,IMMIGRANTS AS IN-LAWS
J111.6,IMMIGRATION POLICY 2
J112,DO OFFICIALS REQUIRE BRIBES?
J113,FREQUENCY OF BRIBES
J114,UNFAIR LAWS CAN BE BROKEN?
J115,ILLEGAL ISN`T CRIMINAL?
J137,ATTENDED POLITICAL MTGS. IN L3Y?
J138,ATTENDED RALLIES_MARCHES IN L3Y?
J139.1,VOLUNTEERED W_LOCAL GROUP L3Y?
J139.2,CREATED LOCAL GROUP IN L3Y?
J139.3,WROTE TO LOCAL OFFICIAL L3Y?
J139.4,MET W_ LOCAL OFFICIAL IN L3Y?
J139.5,WROTE TO REG_FED OFFICIAL L3Y?
J139.6,WROTE TO MASS MEDIA IN L3Y?
J140,PARTICIPATED IN STRIKES IN L3Y?
J141,VOLUNTEERED FOR NON-PROFIT L3Y?
J142,DONATED CASH TO NON-PROFIT L3Y?
J143.1,MEMBER--ANY POLITICAL PARTY?
J143.2,MEMBER--OTHER POLITICAL ORG.?
J143.3,MEMBER--ANY NON-PROFIT ORG.?
J188,YOU WERE SERVING IN THE ARMY?
J189A,SINCE WHAT YEAR YOU WERE SERVING IN THE ARMY?
J189B,WHAT WAS THE YEAR YOU WERE LEAVING THE ARMY?
J190,PLACE LIVED AFTER DISCHARGE
J170.2,"HAVE VOLUNTARY INSURANCE - FLAT, HOUSE INSURANCE?"
J170.3,"HAVE VOLUNTARY INSURANCE - DATCHA INSURANCE, CAR INSURANCE?"
J170.31,HAVE VOLUNTARY INSURANCE - DATCHA INSURANCE?
J170.32,HAVE VOLUNTARY INSURANCE - CAR INSURANCE?
J170.4,HAVE VOLUNTARY INSURANCE - AGRICULTURAL PROPERTY INSURANCE?
J193.1,CONNECTS W_ SAME GENERATION?
J193.2,CONNECTS W_ SAME PROFESSION?
J193.3,CONNECTS W_ ALL CITIZENS?
J193.4,CONNECTS W_ SAME KRAI_REP_OBL?
J193.5,CONNECTS W_ SAME CITY_TOWN?
J193.6,CONNECTS W_ SAME NATIONALITY?
J193.7,CONNECTS W_ SAME INCOME?
J193.8,CONNECTS W_ SAME POLITICS?
J193.9,CONNECTS W_ SAME RELIGIOUS BELIEFS?
J193.10,CONNECTS W_ OTHERS?
J194,LEFT FOR TRIP L12M?
J195,# OF DAYS SPENT ON TRIP
J196.1,TRIP IN THE SAME REGION
J196.2,TRIP TO OTHER REGION
J196.3,TRIP TO FORMER SOVIET REPUBLIC
J196.4,TRIP FAR ABROAD
J197,HAVE PLASTIC BANK CARD?
J198.1,CARD FOR TRANSFERING SALARY_PENSION
J198.2,CARD FOR USING BANK DEPOSIT
J198.3,CARD FOR OBTAINING A CREDIT
J199,BANK CARD USING WAY
J200,BORROW MONEY FROM BANK IN N12M?
J201.01,PURCHASING HOUSING_FLAT_HOUSE
J201.11,HOUSING REPAIR
J201.02,PURCHASING ANOTHER REAL ESTATE
J201.03,PURCHASING A CAR
J201.04,DOMESTIC EQUIQMENT_FURNITURE
J201.05,PAYMENT OF EDUCATION
J201.06,TREATMENT
J201.07,RELAXATION
J201.08,CURRENT EXPENSES
J201.09,PAYING BACK
J201.10,OTHER
J454,LADDER WITH 10 STEPS. ON THE LOWEST FIRST STEP - 10 PERCENT CONSISTED OF THE POOREST FAMILIES AND ON THE HIGHEST TENTH - THE RICHEST FAMILIES 10 PERCENT. WH ON THIS LADDER IS YOUR FAMILY STANDING TODAY?
J455,4 YEARS AGO DID YOU LIVE IN THE SAME FAMILY AS NOW?
J456,4 YEARS AGO ON WHICH OF THE 10 STEPS WERE THE FAMILY YOU LIVED IN?
J457,ON WHICH OF THESE 10 STEPS DO YOU THINK YOUR FAMILY WILL BE IN 4 YEARS?
J458.1,WHAT INCOME PER MONTH YOUR FAMILY SHOULD HAVE FOR YOU TO CONSIDER YOUR LIVI RICH?
J458.2,WHAT INCOME PER MONTH YOUR FAMILY SHOULD HAVE FOR YOU TO CONSIDER YOUR LIVI AVERAGE?
J458.3,WHAT INCOME PER MONTH YOUR FAMILY SHOULD HAVE FOR YOU TO CONSIDER YOUR LIVI POOR?
J202,PURCHASED ANY FOOD GOODS?
J203.1,PURCHASED IN THE MARKET?
J203.1B,IN THE MARKET--DAYS PURCHASED?
J203.2,PURCHASED IN STANDS?
J203.2B,IN STANDS--DAYS PURCHASED?
J204.2,LEVEL OF PRICES--IMPORTANT?
J204.3,ASSORTMENT--IMPORTANT?
J204.4,SERVICE--IMPORTANT?
J204.5,OTHER--IMPORTANT?
J204.6,QUALITY--IMPORTANT?
J204.7,SCHEDULE--IMPORTANT?
J117.01,R CANNOT HANDLE PROBLEMS
J117.02,R FEELS HARASSED IN LIFE
J117.03,R HAS LITTLE INFLUENCE
J117.04,R CAN EXECUTE PLANS
J117.05,R FEELS HELPLESS W_ PROBS.
J117.06,R DETERMINES OWN FUTURE
J117.07,R CANNOT CHANGE LIFE
J117.08,R IS NO WORSE THAN OTHERS
J117.09,R HAS GOOD CHARACTERISTICS
J117.10,R FEELS LIKE A LOSER
J117.11,R CAN DO AS WELL AS OTHERS
J117.12,R HAS LITTLE TO BE PROUD OF
J117.13,R HAS GOOD ATTITUDE
J117.14,R IS SATISFIED WITH SELF
J117.15,R FEELS USELESS
J117.16,R WANTS SELF RESPECT
J117.17,R FEELS LIKE A BAD PERSON
J206,TO TRUST OR TO BE CAREFUL?
J327.1,HOW WOULD YOU EVALUATE CONDITION OF HOUSE
J327.2,HOW WOULD YOU EVALUATE CONDITION OF THE STREETS WHERE YOU LIVE
J327.3,HOW WOULD YOU EVALUATE QUALITY OF THE AIR  WHERE YOU LIVE
J327.4,HOW WOULD YOU EVALUATE QUALITY OF THE WATER IN THE PONDS WHERE YOU LIVE
J328.1,VALUATION OF GOODS AND SERVICES FAMILY USES: FOOD
J328.2,VALUATION OF GOODS AND SERVICES FAMILY USES: DRINKING WATER
J328.3,VALUATION OF GOODS AND SERVICES FAMILY USES: DETERGENTS AND HOUSEHOLD CHEMI GOODS
J328.4,VALUATION OF GOODS AND SERVICES FAMILY USES: COSMETICS
J328.5,VALUATION OF GOODS AND SERVICES FAMILY USES: DRUGS
J328.6,VALUATION OF GOODS AND SERVICES FAMILY USES: MEDICAL SERVICE
J328.7,VALUATION OF GOODS AND SERVICES FAMILY USES: HOUSEHOLD APPLIANCES
J328.8,VALUATION OF GOODS AND SERVICES FAMILY USES: ELECTRONICS
J328.9,VALUATION OF GOODS AND SERVICES FAMILY USES: CELL PHONES
J328.10,VALUATION OF GOODS AND SERVICES FAMILY USES: MOBILE RECEPTION
J328.15,"VALUATION OF GOODS AND SERVICES FAMILY USES: WATER SUPPLY, HEATING"
J328.16,VALUATION OF GOODS AND SERVICES FAMILY USES: WASTE DISPOSAL
J328.17,VALUATION OF GOODS AND SERVICES FAMILY USES: HOUSE MAINTAINANCE/REPAIRS: CURRENT MARKET VALUE
M418,DO YOU FEEL A SENSE OF LONELINESS
J329,FEEL SAFE WALKING ALONE?
J330,WORRY HOUSE COULD BE ROBBED?
J331,WORRY YOU CAN BE ATTACKED?
J364,FACE WORK OF POLICE L5Y?
